word,count
either,1875
antagonistic,14
former,1141
purity,18
137,173
138,176
true,1271
kind,2040
duality,4
fusion,67
right,11001
until,2468
today,2786
intellectual,191
139,166
syncretic,2
eccentric,43
disjointed,6
amerindian,3
Amerindian,1
afro,44
caribbean,67
Afro,44
Caribbean,67
mexican,41
Mexican,38
guillermo,1
Guillermo,1
Gomez,2
Peña,2
140,211
juan,11
Juan,11
davila,1
Davila,1
recently,758
You,7616
yourself,888
141,172
cases,738
intellectuals,17
talk,2586
talking,870
link,743
linking,45
continually,82
taking,861
everyday,132
142,158
Today,118
alive,427
contention,37
consign,8
consigned,6
143,185
144,189
On,942
focus,523
145,172
militant,30
wall,1247
haiti,4
Haiti,4
shortlived,4
uprising,16
food,1340
democracy,163
1986,544
146,177
effective,519
masked,39
superbarrio,1
Superbarrio,1
emerge,299
emerged,117
spontaneously,22
movement,735
demand,773
provision,375
proper,497
housing,470
aftermath,30
disastrous,69
surely,465
appeals,27
memory,499
memories,83
enabler,2
along,1705
wrestling,29
hero,247
heroes,29
superman,8
Superman,7
147,172
reproduce,58
reproduced,27
folklore,17
naive,48
typically,157
exploit,139
exploited,36
fernando,3
Fernando,3
highest,159
selling,257
148,182
shallow,78
humour,158
trade,919
trades,23
miss,1249
misses,25
actual,467
sensibility,11
ago,1897
149,169
symbolic,105
Symbolic,4
lance,8
lances,2
tonton,1
Tonton,1
macoute,1
Macoute,1
mural,20
port,175
au,38
prince,527
Port,41
Prince,338
1989,867
150,345
photo,139
Photo,3
pablo,3
Pablo,3
butcher,50
Butcher,3
151,158
An,528
warrior,97
Warrior,5
152,164
stone,502
Stone,16
carve,35
carving,25
153,182
Popular,9
technically,67
language,1059
permanent,269
historical,635
154,170
sentence,1014
brazilian,17
Brazilian,14
glauber,5
Glauber,5
rocha,2
Rocha,2
turn,3120
1970s,175
clearly,1006
identify,566
identifies,23
mass,599
whose,1272
continuous,230
least,2242
centuries,88
155,182
implies,90
fixed,323
open,3031
changing,332
156,163
essay,723
eztetyke,1
Eztetyke,1
Rêve,4
spelling,121
Esthétique,2
Aesthetic,6
Dream,90
build,835
building,1200
forbid,54
forbidden,26
realise,479
revolutionary,113
importance,595
mystical,28
157,161
contest,132
contesting,4
bourgeois,36
him,8175
left,2349
political,1801
158,159
1965,140
Hunger,2
enormously,30
influential,101
third,1429
Third,79
cinema,140
measure,762
rational,223
poverty,205
159,157
By,1297
1971,219
saying,1063
we,37989
We,4495
touch,868
communion,23
vital,282
mysticism,8
161,168
transcend,18
transcends,3
schema,45
162,163
role,1179
intermediary,13
elaborate,126
beautifying,2
vehicle,359
tie,548
closely,381
continuing,186
thread,76
psychological,186
163,163
writer,469
appreciation,57
studies,451
indebted,10
writing,735
164,168
HER,1
DRESS,1
hang,815
HANGS,1
HERE,5
frock,23
DE,9
FROCKING,1
THE,678
kahlo,48
KAHLO,1
CULT,1
165,174
oriana,1
Oriana,1
baddeley,3
Baddeley,3
166,158
1990s,56
witness,256
witnessed,48
shift,6906
establishment,180
attitude,475
attitudes,153
towards,2159
parameter,159
parameters,46
167,163
previously,328
marginalised,20
rich,492
speculation,132
dealer,99
dealers,27
price,1324
priced,26
modern,667
market,1700
168,166
almost,2159
Almost,71
every,2642
discovery,107
terrain,26
graffiti,36
soviet,122
Soviet,114
australian,108
Australian,97
169,164
auction,162
house,4316
houses,355
times,1061
sell,1291
works,556
content,475
prove,703
proved,215
unstable,48
investment,604
170,175
current,895
frida,13
Frida,13
Kahlo,47
dramatic,209
171,166
Once,262
known,1172
primarily,192
wife,1371
rivera,3
Rivera,3
reputation,213
now,14125
supercede,1
supercedes,1
1919,83
sale,559
room,3027
estimate,370
estimates,86
rise,1226
risen,62
000,2946
million,1347
1990,507
break,1496
broke,244
record,2583
records,590
sotheby,11
Sotheby,11
york,357
York,356
172,153
enormous,296
economic,885
tandem,12
increased,502
incisive,12
173,170
While,280
wave,848
interest,1842
arise,389
arose,39
1982,378
whitechapel,6
Whitechapel,5
exhibition,242
instigate,10
instigated,6
laura,105
Laura,106
mulvey,1
Mulvey,1
peter,753
Peter,716
wollen,9
Wollen,9
publication,150
hayden,6
Hayden,6
herrera,2
Herrera,2
biography,45
1983,508
174,162
Since,294
tv,270
TV,248
documentaries,3
paul,673
Paul,658
leduc,1
Leduc,1
stage,1189
numerous,190
publications,26
designer,254
175,175
May,283
elle,9
Elle,9
run,2735
ran,424
page,953
fig,510
Fig,338
vogue,27
Vogue,11
feb,29
Feb,27
romance,67
176,168
logical,136
outcome,294
media,267
blitz,13
summer,769
Madonna,22
devotee,6
commissioning,10
screenplay,13
base,983
based,940
177,151
178,159
179,165
mythical,14
personality,209
personalities,18
imagination,157
attention,816
focused,72
anecdotal,12
tragic,79
admittedly,42
fascinating,70
180,193
passionate,71
husband,860
flamboyant,14
appearance,398
physical,783
pain,608
dominate,178
responses,85
181,151
help,3090
helped,321
vicissitude,6
vicissitudes,6
audience,382
audiences,31
allow,1346
allows,129
access,642
182,155
obvious,660
parallel,229
parallels,10
van,377
Van,70
gogh,44
Gogh,44
traditionally,112
fashionable,90
generate,254
generated,95
centennial,4
death,1783
183,157
archetypal,8
dropout,2
spiritualist,59
appropriate,706
icon,31
sixties,104
revival,94
hot,793
184,156
yet,2811
Yet,264
despite,809
iconic,8
ultimately,80
signify,33
signified,13
thick,426
impasto,4
brush,235
stroke,247
vibrant,18
yellow,512
yellows,7
urgency,55
creative,68
drive,1225
185,153
herself,1541
characteristic,502
brow,62
brows,10
hair,1228
186,163
formal,447
grace,174
graced,6
pages,165
magazines,43
transpose,26
transposed,3
lookalike,7
lookalikes,3
balance,406
balanced,104
segment,111
segments,54
188,157
piece,1063
